track_id,rating
06XQvnJb53SUYmlWIhUXUi,5
3ILWwi1JNj3NGuuf6DzYxN,4
4cPwi7lcWxRQNEb4xC77fC,5
7xwmx6snj1GphKH9ihzo8e,5
29cshFKbqa3DmctSYEHjfT,5
22EZUYCJYay1h8YSyO5BPd,5
4uXE00zaTB5KomaJLgSblR,5
7qWwjBAGd6mWbwls18Uq4J,5
4I1pxgVwwaxEbAg3ak7QJO,5
291j3B0q0RBJ15y3TRTzA5,3
68peSN0i1B7SKhGkCWgeGH,4
7neOkwoozwlMrP1S15eW1N,5
1JPXGllBrloh5PnNa8D62g,5
3Vc2QeY0CGypAteYZ2xaPO,5
5ZeTXi7uJgTlZJVqljyqHY,4
4ZdMkT4s6qfoH30vw74wVI,5
5moGDgg9undWOE9Uyz0kAO,5
2s5VfCD6aE5n6Vsfmjbqzv,5
50NOjSKe18JgcL8WopKTHb,5
39cxRf5IED9NrxlqeT9cCE,5
72hdS3iPYFo00AjgzThXU2,4
4wPWckbEg7Cr6iTbNekvor,5
0LsKplOVgboKBm5MpJsX0H,5
32cvZTXsJi4EzkvVDMH4Ij,4
5ic62hKqeDhZsa9l6YQxzJ,4
2CYuM18L6hjDyAYT7Xz25h,4
03xt11xuwiqUQBMYKwEWKz,4
5m9rwQVcChWF3TsKXlJfgE,5
2zAi85TQB7mLzl8P1ySAj9,5
3ty4jnVIJ9My8ZnXFMc0Fg,3
6a0G8hYEyxqvEkebVLU5VK,4
2LEe6g4jPbwHNDM3dJCyCF,4
